partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , 
3400869 , 0340-0869 , STANDARD , Tire - Diablo Rosso Scooter - 120/70-12 , Each , PIRELLI , 2925400 ,  , 71.1 , 53.33 , 90.95 , 90.95 , http://asset.lemansnet.com/z/LzUvQS8yLzVBMkZEQ0ZBLTA3REYtNDAxOS1BRjRELUZENkNGOTBFRjNCMg== , 1162752299 , Diablo Rosso Scooter/Street Tire — Front , http://asset.lemansnet.com/z/LzcvNi9GLzc2RkY2OUZFLTMwNTktNENFMy1CMDlCLTYxNkFDODYxNDg2NywvRC8xL0UvRDFFMkY2MzQtM0ExNi00QkIzLTlDMjYtMDA4QjZBMjA2RjJBLC81L0EvMi81QTJGRENGQS0wN0RGLTQwMTktQUY0RC1GRDZDRjkwRUYzQjI= , Breakthrough evolution of the Diablo Rosso III applied to high-performance scooters  which improves the handling  grip and performance of the tire , "The ""flash"" pattern is a proven and efficient solution to combine tread compactness  void-to-rubber ratio  groove orientation and water evacuation" , "Features the Diablo Rosso™ III patented ""flash"" tread pattern design for optimal wear and water drainage" , A sporty profile allows for agile handling and a high silica , Tubeless (TL) , Blackwall , 
3400824 , 0340-0824 , STANDARD , Tire - Diablo Rosso Scooter - 150/70-13 , Each , PIRELLI , 2769100 ,  , 86.8 , 65.1 , 110.95 , 110.95 , http://asset.lemansnet.com/z/LzUvQS8yLzVBMkZEQ0ZBLTA3REYtNDAxOS1BRjRELUZENkNGOTBFRjNCMg== , 470967066 , Diablo Rosso Scooter/Street Tire — Rear , http://asset.lemansnet.com/z/LzcvNi9GLzc2RkY2OUZFLTMwNTktNENFMy1CMDlCLTYxNkFDODYxNDg2NywvRC8xL0UvRDFFMkY2MzQtM0ExNi00QkIzLTlDMjYtMDA4QjZBMjA2RjJBLC81L0EvMi81QTJGRENGQS0wN0RGLTQwMTktQUY0RC1GRDZDRjkwRUYzQjI= , Breakthrough evolution of the Diablo RossoIII applied to high-performance scooters  which improves the handling  grip and performance of the tire , "The ""flash"" pattern is a proven and efficient solution to combine tread compactness  void-to-rubber ratio  groove orientation and water evacuation" , "Features the Diablo Rosso™ III patented ""flash"" tread pattern design for optimal wear and water drainage" , A sporty profile allows for agile handling and a high silica , Tubeless (TL) , Blackwall , 
3400825 , 0340-0825 , STANDARD , Tire - Diablo Rosso Scooter - 150/70-14 , Each , PIRELLI , 2769200 ,  , 124.4 , 93.3 , 157.95 , 157.95 , http://asset.lemansnet.com/z/LzUvQS8yLzVBMkZEQ0ZBLTA3REYtNDAxOS1BRjRELUZENkNGOTBFRjNCMg== , 470967066 , Diablo Rosso Scooter/Street Tire — Rear , http://asset.lemansnet.com/z/LzcvNi9GLzc2RkY2OUZFLTMwNTktNENFMy1CMDlCLTYxNkFDODYxNDg2NywvRC8xL0UvRDFFMkY2MzQtM0ExNi00QkIzLTlDMjYtMDA4QjZBMjA2RjJBLC81L0EvMi81QTJGRENGQS0wN0RGLTQwMTktQUY0RC1GRDZDRjkwRUYzQjI= , Breakthrough evolution of the Diablo Rosso III applied to high-performance scooters  which improves the handling  grip and performance of the tire , "The ""flash"" pattern is a proven and efficient solution to combine tread compactness  void-to-rubber ratio  groove orientation and water evacuation" , "Features the Diablo Rosso™ III patented ""flash"" tread pattern design for optimal wear and water drainage" , A sporty profile allows for agile handling and a high silica , Tubeless (TL) , Blackwall , 
3400233 , 0340-0233 , CLOSEOUT , Tire - Diablo Scooter - 120/80-16 , Each , PIRELLI , 1661500 ,  , 62.5 , 62.5 , 121.95 , 121.95 , http://asset.lemansnet.com/z/LzcvNi9GLzc2RkY2OUZFLTMwNTktNENFMy1CMDlCLTYxNkFDODYxNDg2Nw== , 2073182823 , Diablo Scooter Tire , http://asset.lemansnet.com/z/LzcvNi9GLzc2RkY2OUZFLTMwNTktNENFMy1CMDlCLTYxNkFDODYxNDg2NywvRC8xL0UvRDFFMkY2MzQtM0ExNi00QkIzLTlDMjYtMDA4QjZBMjA2RjJB , Radial tires are the only scooter tires with multi-ply carcass and patented 0° steel belt that aids in high-speed riding stability and cornering even with fully loaded vehicle , High-performance tread compound imported directly from Pirelli's sport-touring tires results in more mileage and regular wear , Tread pattern adapted from the Pirelli Diablo sport tire adds the best wet handling and dry grip while limiting road noise , Larger contact patch maximizes braking efficiency and traction in all weather conditions  increasing rider safety , Tubeless (TL) , Blackwall , 
