partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
12220449 , 1222-0449 , STANDARD , 530 - Max Series - Bulk Chain - 25 Feet , Each , RK , 530MAXO-25FT ,  , 240.02 , 232.82 , 400.03 , 400.05 , http://asset.lemansnet.com/z/L0EvQS9BL0FBQTA2OTgyLTUxNTEtNDRCRC05MDc1LTRFOTQ5NTI3RTgxMw== , 1891158165 , Max Series Bulk Chain — 530 MAX O , http://asset.lemansnet.com/z/L0IvNi80L0I2NEJEQ0QzLTM3NUItNDcyRS05N0MwLTUxMTlCNkU0MUVENg== , Maximum performance maximum value , Extremely high tensile strength and durability , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12230960 , 1223-0960 , STANDARD , 520 - Max-X Series - Bulk Chain - 25 Feet , Each , RK , 520MAXX-25FT ,  , 193.4 , 187.6 , 322.33 , 322.33 , http://asset.lemansnet.com/z/LzMvQi85LzNCOTc1NDVBLTlBMUMtNDFGOS05OEI5LTFERUY1MERFQjlDMA== , 897959270 , Max Series Bulk Chain — 520 MAX X , http://asset.lemansnet.com/z/L0IvNi80L0I2NEJEQ0QzLTM3NUItNDcyRS05N0MwLTUxMTlCNkU0MUVENg== , Maximum performance maximum value , Extremely high tensile strength and durability , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231009 , 1223-1009 , STANDARD , 520 - Max-Z Chain - Gold -120 Links , Each , RK , 520MAXZ-120-GG ,  , 94.04 , 91.22 , 156.73 , 156.73 , http://asset.lemansnet.com/z/LzUvMS9BLzUxQUIwMjExLTc4MjItNEE0RC04QkE3LTFCNTQ2MkFFRjMzRQ== , 1588701107 , 520 Max Z Chain , http://asset.lemansnet.com/z/LzUvMS9BLzUxQUIwMjExLTc4MjItNEE0RC04QkE3LTFCNTQ2MkFFRjMzRQ== , Premium-quality sealed RX-ring chain , Built for high-horsepower applications; for use on today's extreme performance street bikes , Unparalleled tensile strength for chains in it's class , Includes rivet connecting link , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231011 , 1223-1011 , STANDARD , 520 - Max-Z Chain - Black & Gold -120 Links , Each , RK , 520MAXZ-120-BG ,  , 96.85 , 93.95 , 161.42 , 161.44 , http://asset.lemansnet.com/z/L0QvMi8zL0QyMzY4OTc5LUEyMEUtNEE3RC1BMjIzLTY0QkQ0MkUyMEFGMw== , 1588701107 , 520 Max Z Chain , http://asset.lemansnet.com/z/LzUvMS9BLzUxQUIwMjExLTc4MjItNEE0RC04QkE3LTFCNTQ2MkFFRjMzRQ== , Premium-quality sealed RX-ring chain , Built for high-horsepower applications; for use on today's extreme performance street bikes , Unparalleled tensile strength for chains in it's class , Includes rivet connecting link , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231012 , 1223-1012 , STANDARD , 520 - Max-Z Chain - Black & Chrome -120 Links , Each , RK , 520MAXZ-120-BC ,  , 96.85 , 93.95 , 161.42 , 161.44 , http://asset.lemansnet.com/z/L0QvMy9GL0QzRjY1NzlELTcyRkEtNEM2Mi1CRDlBLUM1OEMyMUEwMTVGMQ== , 1588701107 , 520 Max Z Chain , http://asset.lemansnet.com/z/LzUvMS9BLzUxQUIwMjExLTc4MjItNEE0RC04QkE3LTFCNTQ2MkFFRjMzRQ== , Premium-quality sealed RX-ring chain , Built for high-horsepower applications; for use on today's extreme performance street bikes , Unparalleled tensile strength for chains in it's class , Includes rivet connecting link , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231015 , 1223-1015 , STANDARD , 520 - Max-Z Chain - Black & Chrome -130 Links , Each , RK , 520MAXZ-130-BC ,  , 104.94 , 101.79 , 174.9 , 174.9 , http://asset.lemansnet.com/z/ , 1588701107 , 520 Max Z Chain , http://asset.lemansnet.com/z/LzUvMS9BLzUxQUIwMjExLTc4MjItNEE0RC04QkE3LTFCNTQ2MkFFRjMzRQ== , Premium-quality sealed RX-ring chain , Built for high-horsepower applications; for use on today's extreme performance street bikes , Unparalleled tensile strength for chains in it's class , Includes rivet connecting link , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12231016 , 1223-1016 , STANDARD , 520 - Max-Z Chain - Gold -150 Links , Each , RK , 520MAXZ-150-GG ,  , 117.56 , 114.03 , 195.93 , 195.93 , http://asset.lemansnet.com/z/LzUvMS9BLzUxQUIwMjExLTc4MjItNEE0RC04QkE3LTFCNTQ2MkFFRjMzRQ== , 1588701107 , 520 Max Z Chain , http://asset.lemansnet.com/z/LzUvMS9BLzUxQUIwMjExLTc4MjItNEE0RC04QkE3LTFCNTQ2MkFFRjMzRQ== , Premium-quality sealed RX-ring chain , Built for high-horsepower applications; for use on today's extreme performance street bikes , Unparalleled tensile strength for chains in it's class , Includes rivet connecting link , Made in Japan to the highest standards of quality to ensure superior performance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
12250144 , 1225-0144 , STANDARD , 520 MXU - Sealed UW-Ring - Clip Connecting Link , Each , RK , GB520MXU-CL ,  , 5.34 , 5.18 , 8.9 , 8.95 , http://asset.lemansnet.com/z/LzAvRS8wLzBFMDE2RTNELTIxMjEtNDFBMS04QjBCLUZDNjM3QkQ1NDc5OA== , 2040785940 , Sealed UW-Ring (MXU) Clip Connecting Link , http://asset.lemansnet.com/z/LzAvRS8wLzBFMDE2RTNELTIxMjEtNDFBMS04QjBCLUZDNjM3QkQ1NDc5OA== , Sold as each ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
R18520EXW , R18-520EXW , STANDARD , 520 EXW - Clip Connecting Link , Each , RK , 520EXW C/L ,  , 5.34 , 5.18 , 8.9 , 8.95 , http://asset.lemansnet.com/z/ , 1504461744 , 520 EXW Connecting Link ,  , Sold as each ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
R18GB520EXW , R18-GB520EXW , STANDARD , 520 EXW - Clip Connecting Link - Gold , Each , RK , GB520EXW C/L ,  , 5.34 , 5.18 , 8.9 , 8.95 , http://asset.lemansnet.com/z/LzQvOS84LzQ5ODE2N0VELTZENEEtNDIyRS05N0U3LTY1QTMzODY5NUNFNg== , 1934384000 , GB 520 EXW Connecting Link , http://asset.lemansnet.com/z/LzQvOS84LzQ5ODE2N0VELTZENEEtNDIyRS05N0U3LTY1QTMzODY5NUNFNg== , Sold as each ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
