partNumber , punctuatedPartNumber , partStatusDescription , partDescription , unitOfMeasure , brandName , supplierNumber , specialInstructions , baseDealerPrice , yourDealerPrice , baseRetailPrice , originalRetailPrice , partImage , productId , productName , productImage , bullet1 , bullet2 , bullet3 , bullet4 , bullet5 , bullet6 , bullet7 , bullet8 , bullet9 , bullet10 , bullet11 , bullet12 , bullet13 , bullet14 , bullet15 , bullet16 , bullet17 , bullet18 , bullet19 , bullet20 , bullet21 , bullet22 , bullet23 , bullet24
3160316 , 0316-0316 , STANDARD , Tire - Scorpion Rally - 100/90-19 , Each , PIRELLI , 2865300 ,  , 140 , 105 , 177.95 , 177.95 , http://asset.lemansnet.com/z/LzcvNC82Lzc0NjFBNzQyLUQwRDktNDFDRS05MENELUJGMjQ2M0VENjJCOSwvMi81LzMvMjUzQTEwMUYtQzU1RC00M0UxLUIyM0MtNTI2NTU0QjA5NTVCLC9GL0MvNy9GQzcyNDU5MC05RDM2LTREMjUtODA2Mi0wOTMxREEwMzQyQUI= , 248512561 , Scorpion™ Rally STR Dual Sport Tire — Front , http://asset.lemansnet.com/z/bWVkaWEvNjkyYThkNWItMzM1Yi00OTc3LTg5M2EtMzNiY2Q4YzRjODYw , Blocks are longer and wider and the longitudinal distance between each line of knobs has been reduced to increase the contact patch without compromising off-road traction , Compound with a high content of silica offers increased grip on both dry and wet surfaces stability and a superior resistance to abrasion , Technological innovations provide traction on dirt stability at high speeds on-road handling agility and grip in all riding conditions , Increased width and length of the tire's contour makes a larger contact patch for better stability , Heat generated by high speed is distributed across a wider surface to prevent knob tearing , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3170384 , 0317-0384 , STANDARD , Tire - Scorpion Rally - 150/70R17 , Each , PIRELLI , 2865200 ,  , 176.3 , 132.23 , 223.95 , 223.95 , http://asset.lemansnet.com/z/L0EvNC80L0E0NEU5NUE1LTQ3QjAtNDI0My05RkY4LTM3QzdEMTk0QTQwNiwvMi81LzMvMjUzQTEwMUYtQzU1RC00M0UxLUIyM0MtNTI2NTU0QjA5NTVCLC9GL0MvNy9GQzcyNDU5MC05RDM2LTREMjUtODA2Mi0wOTMxREEwMzQyQUI= , 494356934 , Scorpion™ Rally STR Dual Sport Tire — Rear , http://asset.lemansnet.com/z/bWVkaWEvNjkyYThkNWItMzM1Yi00OTc3LTg5M2EtMzNiY2Q4YzRjODYw , Blocks are longer and wider and the longitudinal distance between each line of knobs has been reduced to increase the contact patch without compromising off-road traction , Compound with a high content of silica offers increased grip on both dry and wet surfaces stability and a superior resistance to abrasion , Technological innovations provide traction on dirt stability at high speeds on-road handling agility and grip in all riding conditions , Increased width and length of the tire's contour makes a larger contact patch for better stability , Heat generated by high speed is distributed across a wider surface to prevent knob tearing , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3170385 , 0317-0385 , STANDARD , Tire - Scorpion Rally - 150/70R18 , Each , PIRELLI , 2803500 ,  , 181.8 , 136.35 , 230.95 , 230.95 , http://asset.lemansnet.com/z/L0EvNC80L0E0NEU5NUE1LTQ3QjAtNDI0My05RkY4LTM3QzdEMTk0QTQwNiwvMi81LzMvMjUzQTEwMUYtQzU1RC00M0UxLUIyM0MtNTI2NTU0QjA5NTVCLC9GL0MvNy9GQzcyNDU5MC05RDM2LTREMjUtODA2Mi0wOTMxREEwMzQyQUI= , 494356934 , Scorpion™ Rally STR Dual Sport Tire — Rear , http://asset.lemansnet.com/z/bWVkaWEvNjkyYThkNWItMzM1Yi00OTc3LTg5M2EtMzNiY2Q4YzRjODYw , Blocks are longer and wider and the longitudinal distance between each line of knobs has been reduced to increase the contact patch without compromising off-road traction , Compound with a high content of silica offers increased grip on both dry and wet surfaces stability and a superior resistance to abrasion , Technological innovations provide traction on dirt stability at high speeds on-road handling agility and grip in all riding conditions , Increased width and length of the tire's contour makes a larger contact patch for better stability , Heat generated by high speed is distributed across a wider surface to prevent knob tearing , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3130579 , 0313-0579 , CLOSEOUT , Tire - Scorpion - 120/80-19 , Each , PIRELLI , 2718000 ,  , 64.7 , 64.7 , 143.95 , 143.95 , http://asset.lemansnet.com/z/L0MvQS8zL0NBMzQ3RjhFLUJGQzQtNDI5Ri1BQUM5LTI3RDc2NDFEN0IzOSwvRS80LzYvRTQ2OEMwNjctNUVBMS00M0NGLUIxODUtOEUwNzk3MUNFMjI2 , 307010035 , Scorpion MX32 Tire — Rear , http://asset.lemansnet.com/z/LzUvQi9FLzVCRTU1QzJDLUNFNEQtNDUwOC1BQTEyLUU1QzlFOEYwMzVGNg== , Engineered to provide outstanding performance for professional riders in the World FIM Motocross the AMA Motocross and Supercross championships and enthusiastic riders of all capabilities , Provides a high-level of dynamic performance by maximizing cornering grip and traction while providing remarkable durability and resistance against cuts and tearing , Dense knob layout provides a large and stable contact patch for improved cornering grip traction and stability , Robust compound promotes the transfer of power to the ground and prevents overheating , Replaces the MX32 Pro , Tube type (TT) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3050591 , 0305-0591 , STANDARD , Tire - MX32 - 100/90-19 , Each , PIRELLI , 3107400 ,  , 92.6 , 69.45 , 117.95 , 117.95 , http://asset.lemansnet.com/z/LzUvQi9FLzVCRTU1QzJDLUNFNEQtNDUwOC1BQTEyLUU1QzlFOEYwMzVGNixtZWRpYS8yNmRjNDAxYS1kMWEwLTRkMTAtYTFmZS1mZTBlOTkwYWM5Y2EsL0UvNC82L0U0NjhDMDY3LTVFQTEtNDNDRi1CMTg1LThFMDc5NzFDRTIyNixtZWRpYS8xOTkzYzY3OS0wZWFiLTQ1NGUtOTVmZi0xYjk1MmJjMTZmOTA= , 1422998833 , Scorpion MX32 Tire — Rear , http://asset.lemansnet.com/z/LzUvQi9FLzVCRTU1QzJDLUNFNEQtNDUwOC1BQTEyLUU1QzlFOEYwMzVGNg== , Engineered to provide outstanding performance for professional riders in the World FIM Motocross the AMA Motocross and Supercross championships and enthusiastic riders of all capabilities , Provides a high-level of dynamic performance by maximizing cornering grip and traction while providing remarkable durability and resistance against cuts and tearing , Dense knob layout provides a large and stable contact patch for improved cornering grip traction and stability , Robust compound promotes the transfer of power to the ground and prevents overheating , Replaces the MX32 Pro , Tube type (TT) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3400842 , 0340-0842 , STANDARD , Tire - Angel Scooter - 120/70-12 - 58P , Each , PIRELLI , 2770900 ,  , 61.4 , 46.05 , 77.95 , 77.95 , http://asset.lemansnet.com/z/LzIvMi80LzIyNEQ4MTY4LUMwQ0YtNDE3Ni1COTNBLTA1QjhGRERCREZBQg== , 925976065 , Angel Scooter Tire — Rear , http://asset.lemansnet.com/z/LzgvMC84LzgwODFGRTk4LTc5ODktNERDRC1BOUVDLUJCNzYyNjUzMkE1NiwvMi8yLzQvMjI0RDgxNjgtQzBDRi00MTc2LUI5M0EtMDVCOEZEREJERkFC , The structure of the tire and tread pattern design filter all different road conditions and deliver a more comfortable and smooth ride , Damping dots within the tread modify the stiffness of the ride and absorb ground irregularities and vibrations , Tread pattern with crossing elements absorbs and distributes braking forces to reduce the breaking distance , Born from Pirelli's sport touring product the Angel™ GT for urban commuting , A compound with a high percentage of silica for top wet performance , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3400843 , 0340-0843 , STANDARD , Tire - Angel Scooter - 120/80-14 - 58P , Each , PIRELLI , 2864000 ,  , 93.9 , 70.43 , 118.95 , 118.95 , http://asset.lemansnet.com/z/LzIvMi80LzIyNEQ4MTY4LUMwQ0YtNDE3Ni1COTNBLTA1QjhGRERCREZBQg== , 925976065 , Angel Scooter Tire — Rear , http://asset.lemansnet.com/z/LzgvMC84LzgwODFGRTk4LTc5ODktNERDRC1BOUVDLUJCNzYyNjUzMkE1NiwvMi8yLzQvMjI0RDgxNjgtQzBDRi00MTc2LUI5M0EtMDVCOEZEREJERkFC , The structure of the tire and tread pattern design filter all different road conditions and deliver a more comfortable and smooth ride , Damping dots within the tread modify the stiffness of the ride and absorb ground irregularities and vibrations , Tread pattern with crossing elements absorbs and distributes braking forces to reduce the breaking distance , Born from Pirelli's sport touring product the Angel™ GT for urban commuting , A compound with a high percentage of silica for top wet performance , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3400844 , 0340-0844 , STANDARD , Tire - Angel Scooter - 120/80-16 - 60P , Each , PIRELLI , 2772000 ,  , 90.1 , 67.58 , 113.95 , 113.95 , http://asset.lemansnet.com/z/LzIvMi80LzIyNEQ4MTY4LUMwQ0YtNDE3Ni1COTNBLTA1QjhGRERCREZBQg== , 925976065 , Angel Scooter Tire — Rear , http://asset.lemansnet.com/z/LzgvMC84LzgwODFGRTk4LTc5ODktNERDRC1BOUVDLUJCNzYyNjUzMkE1NiwvMi8yLzQvMjI0RDgxNjgtQzBDRi00MTc2LUI5M0EtMDVCOEZEREJERkFC , The structure of the tire and tread pattern design filter all different road conditions and deliver a more comfortable and smooth ride , Damping dots within the tread modify the stiffness of the ride and absorb ground irregularities and vibrations , Tread pattern with crossing elements absorbs and distributes braking forces to reduce the breaking distance , Born from Pirelli's sport touring product the Angel™ GT for urban commuting , A compound with a high percentage of silica for top wet performance , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3400846 , 0340-0846 , STANDARD , Tire - Angel Scooter - 130/70-12 - 62P , Each , PIRELLI , 2771000 ,  , 73.4 , 55.05 , 92.95 , 92.95 , http://asset.lemansnet.com/z/LzIvMi80LzIyNEQ4MTY4LUMwQ0YtNDE3Ni1COTNBLTA1QjhGRERCREZBQg== , 925976065 , Angel Scooter Tire — Rear , http://asset.lemansnet.com/z/LzgvMC84LzgwODFGRTk4LTc5ODktNERDRC1BOUVDLUJCNzYyNjUzMkE1NiwvMi8yLzQvMjI0RDgxNjgtQzBDRi00MTc2LUI5M0EtMDVCOEZEREJERkFC , The structure of the tire and tread pattern design filter all different road conditions and deliver a more comfortable and smooth ride , Damping dots within the tread modify the stiffness of the ride and absorb ground irregularities and vibrations , Tread pattern with crossing elements absorbs and distributes braking forces to reduce the breaking distance , Born from Pirelli's sport touring product the Angel™ GT for urban commuting , A compound with a high percentage of silica for top wet performance , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3400848 , 0340-0848 , STANDARD , Tire - Angel Scooter - 140/60-13 - 63P , Each , PIRELLI , 2771300 ,  , 75.7 , 56.78 , 95.95 , 95.95 , http://asset.lemansnet.com/z/LzIvMi80LzIyNEQ4MTY4LUMwQ0YtNDE3Ni1COTNBLTA1QjhGRERCREZBQg== , 925976065 , Angel Scooter Tire — Rear , http://asset.lemansnet.com/z/LzgvMC84LzgwODFGRTk4LTc5ODktNERDRC1BOUVDLUJCNzYyNjUzMkE1NiwvMi8yLzQvMjI0RDgxNjgtQzBDRi00MTc2LUI5M0EtMDVCOEZEREJERkFC , The structure of the tire and tread pattern design filter all different road conditions and deliver a more comfortable and smooth ride , Damping dots within the tread modify the stiffness of the ride and absorb ground irregularities and vibrations , Tread pattern with crossing elements absorbs and distributes braking forces to reduce the breaking distance , Born from Pirelli's sport touring product the Angel™ GT for urban commuting , A compound with a high percentage of silica for top wet performance , Tubeless (TL) , Blackwall ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
